Submitted at,Country you live and work in,City,Gender,Your age,Your job title,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
2024-10-02 2:00:59,Singapore,Singapore,Woman,31 - 35,Senior UX Designer,Full-time employee,Mid-level IC,Product / UX research,7,12,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"7,100","15,000",,,"100,200","100,200","Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Government,"Technology, media & telecommunications",201 - 1000,2 - 10,Yes,Fully on-site,
2024-10-03 1:36:21,Singapore,Singapore,Man,25 - 30,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"6,000","20,000","5,000","1,000","98,000","98,000","Paid medical leave, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Professional development, training, or learning fund, Health insurance",Start-up,Financial services,51 - 200,2 - 10,No,1 day on-site,
2024-10-03 3:39:52,Malaysia,Kuala Lumpur,Woman,31 - 35,Ux research,Full-time employee,Mid-level IC,Product / UX research,3,3,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"6,500",,,,"78,000","23,642",,Large enterprise (MNC),Banking & capital markets,"1001 - 10,000",11 - 50,Yes,1 day on-site,
2024-10-03 3:40:33,Malaysia,Ipoh,Woman,31 - 35,UX Lead,Full-time employee,Lead / Staff / Principal IC,Product / UX design,7,8,Bachelor's degree,No,,,,,,,No,MYR,Monthly,,"8,100",,,,"97,200","29,462","Flexible schedule, Health insurance, Wellness (gym, fitness, etc)",Agency / Consulting,"Technology, media & telecommunications",11 - 50,11 - 50,No,Fully remote,
2024-10-03 3:40:33,Malaysia,Kuala Lumpur,Prefer not to respond,18 - 24,Graphic Design,Full-time employee,Junior IC (Entry level),Marketing / graphic design,1,1,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"2,500",,,,"30,000","9,093","Flexible schedule, Health insurance, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Real estate,51 - 200,2 - 10,Yes,4 days on-site,
2024-10-03 3:43:22,Singapore,Singapore,Man,31 - 35,Senior Designer,Full-time employee,Senior IC,Design leadership and management,9,9,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"7,750",,,,"93,000","93,000","Flexible schedule, Dental insurance, Health insurance, Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications","10,001 and above",11 - 50,No,Fully remote,EPAM
2024-10-03 3:44:11,Malaysia,Kuala Lumpur,Man,25 - 30,UI/UX Designer,Full-time employee,Senior IC,Product / UX design,2,4,Bachelor's degree,No,,,,,,,No,MYR,Monthly,,"6,500",,,,"78,000","23,642","Health insurance, Flexible schedule, Transport subsidies, Paid time off / vacation time, Paid medical leave, Wellness (gym, fitness, etc), Onsite food / snacks, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,3 days on-site,
2024-10-03 3:44:35,Malaysia,Kuala Lumpur,Man,25 - 30,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,3,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"3,500",,,,"42,000","12,730",Health insurance,Small-medium enterprise,"Transportation, hospitality & services",201 - 1000,2 - 10,No,3 days on-site,the Hive Coworking Space
2024-10-03 3:45:09,Singapore,Singapore,Man,31 - 35,Senior UX Designer,Full-time employee,Senior IC,Product / UX design,6,8,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"10,000","30,000",,,"150,000","150,000","Health insurance, Dental insurance, Paid time off / vacation time, Paid medical leave, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications","10,001 and above",2 - 10,No,3 days on-site,EPAM SYSTEMS
2024-10-03 3:47:10,Malaysia,Kuala Lumpur,Man,31 - 35,Design Manager / Product Designer,Full-time employee,Manager,Product / UX design,7,9,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"9,200",,,250,"110,650","33,538",,Start-up,Consumer products,11 - 50,2 - 10,Yes,3 days on-site,
2024-10-03 3:55:13,Malaysia,Kuala Lumpur,Man,36 - 40,Head of Design,Full-time employee,Director / VP*,Design leadership and management,9,19,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Annual,"340,000",,"68,000",,"6,800","414,800","125,727","Dental insurance, Professional development, training, or learning fund, Flexible spending account, Health insurance",Large enterprise (MNC),Banking & capital markets,201 - 1000,11 - 50,Yes,3 days on-site,
2024-10-03 5:35:51,Malaysia,Kuala Lumpur,Man,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,5,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Monthly,,"8,000",,,500,"96,500","29,249","Flexible schedule, Allowance for flexible working arrangement (remote/co-working space)",Start-up,"Technology, media & telecommunications",1 - 10,Team of 1,Not applicable,Fully remote,
2024-10-03 6:44:12,Malaysia,Kuala Lumpur,Woman,31 - 35,Video Manager,Fixed term contractor,Lead / Staff / Principal IC,Motion / animation design,6,8,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Monthly,,"10,150","131,950",,,"253,750","76,912","Allowance for flexible working arrangement (remote/co-working space), Health insurance, Onsite food / snacks, Paid medical leave, Professional development, training, or learning fund",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",2 - 10,Yes,2 days on-site,
2024-10-03 10:35:43,Malaysia,Kuala Lumpur,Woman,25 - 30,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1.5,2,Bachelor's degree,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,MYR,Monthly,,"4,000","4,000",,,"52,000","15,761","Onsite food / snacks, Flexible schedule, Health insurance, Paid medical leave, Paid time off / vacation time, Professional development, training, or learning fund",Small-medium enterprise,Financial services,51 - 200,2 - 10,Yes,4 days on-site,Involve Asia
2024-10-03 11:36:58,Malaysia,Kuala Lumpur,Woman,18 - 24,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX research,1,1,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,No,MYR,Monthly,,"3,500",,,,"42,000","12,730","Professional development, training, or learning fund, Allowance for flexible working arrangement (remote/co-working space), Internet / mobile phone subsidies, Paid time off / vacation time, Health insurance",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",11 - 50,Yes,4 days on-site,
2024-10-04 3:41:33,Malaysia,Kuala Lumpur,Woman,36 - 40,Graphic Team Lead,Full-time employee,Lead / Staff / Principal IC,Marketing / graphic design,16,16,Post-graduate diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,MYR,Annual,"144,000",,"18,000",,"5,270","167,270","50,700","Dental insurance, Paid medical leave, Health insurance, Wellness (gym, fitness, etc), Internet / mobile phone subsidies, Professional development, training, or learning fund, Budget for equipment or home office setup, Flexible schedule, Paid time off / vacation time, Flexible spending account",Large enterprise (MNC),Power & utilities,"10,001 and above",11 - 50,No,2 days on-site,Ørsted
2024-10-08 9:32:36,Indonesia,Jakarta,Man,18 - 24,UI Designer,Full-time employee,Mid-level IC,Visual / UI design,2,2,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"5,250,000","2,300,000",,,"65,300,000","5,485",,Non-profit,Social,1 - 10,Team of 1,Not applicable,Fully remote,goodkind.id
2024-10-08 9:40:25,Singapore,Singapore,Man,36 - 40,"VP, design system, ops, content",Full-time employee,Manager,Design leadership and management,14,15,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses, In-person certified courses",TRUE,FALSE,FALSE,TRUE,TRUE,Yes,SGD,Monthly,,"18,100","45,000",,"5,000","267,200","267,200","Paid medical leave, Professional development, training, or learning fund, Dental insurance, Flexible spending account, Health insurance, Paid time off / vacation time",Large enterprise (MNC),Banking & capital markets,201 - 1000,11 - 50,Yes,2 days on-site,
2024-10-09 0:38:34,Singapore,Singapore,Man,25 - 30,"Associate Director, Product Design",Full-time employee,Senior IC,Product / UX design,2,7,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Annual,"108,000",,"18,000",,"3,600","129,600","129,600","Flexible spending account, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Health insurance, Paid time off / vacation time",Large enterprise (MNC),Banking & capital markets,"10,001 and above",Team of 1,Yes,Fully remote,
2024-10-09 1:00:42,Singapore,Singapore,Woman,31 - 35,Experience Designer,Full-time employee,Junior IC (Entry level),CX Design,2,7,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"5,500","10,000",,,"76,000","76,000",,Large enterprise (MNC),Insurance,"1001 - 10,000",2 - 10,Yes,3 days on-site,
2024-10-09 1:07:14,Singapore,Singapore,Man,36 - 40,Principal UX Designer,Full-time employee,Manager,Product / UX design,8,11,Master's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,Yes,SGD,Annual,"122,400",,"9,000",,"1,400","132,800","132,800","Health insurance, Professional development, training, or learning fund, Onsite food / snacks, Flexible schedule, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Paid time off / vacation time",Start-up,"Technology, media & telecommunications","1001 - 10,000",101 and above,Yes,1 day on-site,
2024-10-09 1:18:24,Singapore,Singapore,Man,36 - 40,UX Designer,Fixed term contractor,Mid-level IC,Product / UX design,15,15,Diploma,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,SGD,Monthly,,"7,000",,,,"84,000","84,000",Paid medical leave,Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",2 - 10,Not applicable,Fully on-site,
2024-10-09 1:32:28,Singapore,Singapore,Woman,36 - 40,Graphic Designer,Self-employed (Freelancers; own company),Mid-level IC,Design operations,12,15,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"4,100","49,200",,,"98,400","98,400","Wellness (gym, fitness, etc)",Large enterprise (MNC),"Transportation, hospitality & services",201 - 1000,Team of 1,Not applicable,Fully on-site,
2024-10-09 2:05:15,Singapore,Singapore,Man,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,3,4,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,Yes,SGD,Monthly,,"8,120",,,"1,000","98,440","98,440","Flexible schedule, Meal subsidies, Flexible spending account, Dental insurance, Paid medical leave, Paid time off / vacation time, Onsite food / snacks, Professional development, training, or learning fund, Health insurance, Wellness (gym, fitness, etc), Corporate benefits",Large enterprise (MNC),Consumer products,"1001 - 10,000",11 - 50,Yes,Fully remote,Delivery Hero
2024-10-09 2:41:33,Singapore,Singapore,Woman,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,2,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"5,195","12,000",,,"74,340","74,340","Paid medical leave, Health insurance",Small-medium enterprise,Consumer products,51 - 200,2 - 10,No,4 days on-site,
2024-10-09 2:42:04,Singapore,Singapore,Woman,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,2,5,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"6,100","6,100",,,"79,300","79,300","Health insurance, Dental insurance, Paid time off / vacation time, Professional development, training, or learning fund, Paid medical leave, Budget for equipment or home office setup",Small-medium enterprise,Financial services,11 - 50,2 - 10,No,Fully remote,
2024-10-09 2:54:05,Singapore,Singapore,Woman,25 - 30,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,3,3,Master's degree,Yes,"Online certification (e.g. Coursera or IDF), In-person certified courses",FALSE,TRUE,FALSE,TRUE,FALSE,No,SGD,Monthly,,"6,349","7,000",,,"83,188","83,188",,Large enterprise (MNC),Consumer products,"1001 - 10,000",11 - 50,Yes,4 days on-site,
2024-10-09 2:55:59,Cambodia,Phnom Penh,Woman,18 - 24,Product Design & Project Management,Full-time employee,Manager,Product / UX research,6,2,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,USD,Monthly,,"4,000",,,,"48,000","64,800","Paid time off / vacation time, Paid medical leave, Internet / mobile phone subsidies, Health insurance",Small-medium enterprise,Banking & capital markets,51 - 200,2 - 10,Yes,Fully on-site,Bank
2024-10-09 3:10:54,Singapore,Singapore,Man,31 - 35,UX designer,Self-employed (Freelancers; own company),Mid-level IC,Visual / UI design,5,5,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"3,500",,,,"42,000","42,000",,Small-medium enterprise,Jewellery,1 - 10,Team of 1,Yes,Fully on-site,MichaelTrio
2024-10-09 3:59:30,Singapore,Singapore,Woman,25 - 30,Junior UIUX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,2,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"3,200",,,,"38,400","38,400","Paid time off / vacation time, Paid medical leave, Dental insurance, Health insurance",Small-medium enterprise,Health care,11 - 50,2 - 10,Yes,4 days on-site,
2024-10-09 4:10:41,Singapore,Singapore,Woman,25 - 30,Product Designer II,Full-time employee,Mid-level IC,Product / UX design,4,4,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"8,600",,,,"103,200","103,200","Paid medical leave, Health insurance, Onsite food / snacks, Meal subsidies, Professional development, training, or learning fund, Paid time off / vacation time, Wellness (gym, fitness, etc)",Large enterprise (MNC),Financial services,"1001 - 10,000",101 and above,Yes,Fully on-site,
2024-10-09 4:57:50,Thailand,Bangkok,Man,36 - 40,Regional Design Manager,Full-time employee,Manager,Product / UX design,13,14,Master's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,FALSE,FALSE,FALSE,Yes,THB,Monthly,,"165,000","325,000",,,"2,305,000","92,200",Housing,Start-up,Financial services,201 - 1000,11 - 50,Yes,2 days on-site,
2024-10-09 5:17:41,Singapore,Singapore,Woman,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"7,200","21,600",0,"2,100","110,100","110,100","Flexible spending account, Professional development, training, or learning fund, Dental insurance, Wellness (gym, fitness, etc), Onsite food / snacks",Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",101 and above,Yes,Fully on-site,TikTok Pte. Ltd.
2024-10-09 5:51:45,Singapore,Singapore,Man,41 - 45,Head of Design,Full-time employee,Head of department / Senior leadership,Design leadership and management,13,18,Bachelor's degree,No,,,,,,,Yes,SGD,Monthly,,"22,750","50,000","10,000",,"333,000","333,000","Professional development, training, or learning fund, Health insurance, Internet / mobile phone subsidies, Dental insurance, Flexible schedule",Start-up,Other,201 - 1000,11 - 50,Yes,Fully remote,
2024-10-09 6:15:32,Singapore,Singapore,Man,31 - 35,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,6,6,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"8,800",,,,"105,600","105,600","Dental insurance, Paid time off / vacation time, Onsite food / snacks, Health insurance, Paid medical leave",Start-up,Education,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-09 6:20:19,Philippines,Manila,Woman,25 - 30,UX/UI Design Lead,Full-time employee,Manager,Product / UX design,8,8,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,PHP,Monthly,,"165,000","148,500",,,"2,128,500","48,956","Paid medical leave, Dental insurance, Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Professional development, training, or learning fund, Budget for equipment or home office setup, Wellness (gym, fitness, etc)",Large enterprise (MNC),MedTech and Innovative Medicine,"10,001 and above",2 - 10,No,3 days on-site,
2024-10-09 6:22:19,Singapore,Singapore,Woman,31 - 35,UI/Graphic Designer,Fixed term contractor,Senior IC,Marketing / graphic design,10,13,Diploma,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), In-person certified courses, Self-taught / informal / unstructured courses",TRUE,TRUE,FALSE,TRUE,TRUE,No,SGD,Monthly,,"4,500",,,,"54,000","54,000","Allowance for flexible working arrangement (remote/co-working space), Paid medical leave, Professional development, training, or learning fund, Paid time off / vacation time, Onsite food / snacks, Health insurance",Large enterprise (MNC),Telecommunications,"10,001 and above",51 - 100,Yes,Fully on-site,
2024-10-09 7:08:47,Singapore,Singapore,Woman,25 - 30,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,6,8,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"10,000","20,000",,"27,000","167,000","167,000","Wellness (gym, fitness, etc), Health insurance, Paid medical leave, Professional development, training, or learning fund, Paid time off / vacation time, Meal subsidies, Dental insurance, Onsite food / snacks",Large enterprise (MNC),Financial services,"1001 - 10,000",101 and above,Yes,4 days on-site,
2024-10-09 7:20:41,Singapore,Singapore,Woman,25 - 30,UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,2,4,Bachelor's degree,No,,,,,,,No,SGD,Monthly,,"4,000",,,,"48,000","48,000","Paid medical leave, Allowance for flexible working arrangement (remote/co-working space)",Start-up,Education,1 - 10,Team of 1,No,Fully remote,
2024-10-09 7:30:26,Malaysia,Kuala Lumpur,Man,25 - 30,Senior Product Designer,Full-time employee,Senior IC,Product / UX design,4,6,Master's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,MYR,Monthly,,"9,300","9,300",,"2,400","123,300","37,373","Onsite food / snacks, Paid time off / vacation time, Flexible schedule, Health insurance, Dental insurance, Sports Club Reimbursements, Meal subsidies",Large enterprise (MNC),Financial services,201 - 1000,2 - 10,Yes,3 days on-site,MoneyLion
2024-10-09 7:38:31,Singapore,Singapore,Woman,36 - 40,Senior UX Designer,Full-time employee,Mid-level IC,Product / UX design,3,2,Master's degree,No,,,,,,,No,SGD,Monthly,,"5,920","5,920",,,"76,960","76,960","Health insurance, Flexible spending account",Large enterprise (MNC),Insurance,"1001 - 10,000",2 - 10,Yes,2 days on-site,
2024-10-09 7:56:41,Singapore,Singapore,Woman,25 - 30,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,3,6,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"4,200",,,,"50,400","50,400","Flexible schedule, Meal subsidies, Health insurance, Onsite food / snacks",Start-up,Financial services,11 - 50,2 - 10,Yes,4 days on-site,
2024-10-09 8:34:58,Singapore,Singapore,Woman,31 - 35,Senior UX Researcher,Full-time employee,Mid-level IC,Product / UX research,6,10,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,No,SGD,Monthly,,"4,700","4,700",,500,"61,600","61,600","Allowance for flexible working arrangement (remote/co-working space), Paid time off / vacation time, Paid medical leave, Transport subsidies, Health insurance, Professional development, training, or learning fund, Onsite food / snacks, Flexible schedule",Agency / Consulting,Government & public services,201 - 1000,2 - 10,Yes,3 days on-site,
